time,ch1,ch2
0,0,-0.0024
5.00E-08,0,-0.0024
1.00E-07,0,-0.0024
1.50E-07,0,-0.0048
2.00E-07,0,-0.0056
2.50E-07,0,-0.0016
3.00E-07,0,0
3.50E-07,0,-0.0096
4.00E-07,0,-0.0088
4.50E-07,0,0.0056
5.00E-07,0,-0.004
5.50E-07,0,8.00E-04
6.00E-07,0,-0.0104
6.50E-07,0,-8.00E-04
7.00E-07,0,0.0032
7.50E-07,0,-0.0136
8.00E-07,0,0.0104
8.50E-07,0,-0.0096
9.00E-07,0,8.00E-04
9.50E-07,0,-0.0032
1.00E-06,0,0.004
1.05E-06,0,-0.008
1.10E-06,0,-0.008
1.15E-06,0,-0.0016
1.20E-06,0,0.0032
1.25E-06,0,-0.0048
1.30E-06,0,-0.0016
1.35E-06,0,0.004
1.40E-06,0,-0.0064
1.45E-06,0,8.00E-04
1.50E-06,0,-0.0024
1.55E-06,0,-0.0088
1.60E-06,0,0.0072
1.65E-06,0,0.0016
1.70E-06,0,-0.0032
1.75E-06,0,-0.0048
1.80E-06,0,0
1.85E-06,0,-0.0056
1.90E-06,0,0.0064
1.95E-06,0,-0.0024
2.00E-06,0,-0.0088
2.05E-06,0,0.0072
2.10E-06,0,-0.0112
2.15E-06,0,0.0016
2.20E-06,0,-0.0016
2.25E-06,0,-0.0048
2.30E-06,0,-0.0072
2.35E-06,0,0
2.40E-06,0,-0.0048
2.45E-06,0,0.0024
2.50E-06,0,-0.0032
2.55E-06,0,-0.012
2.60E-06,0,-0.0024
2.65E-06,0,0.0128
2.70E-06,0,-0.0224
2.75E-06,0.04,0.0064
2.80E-06,0,-0.0096
2.85E-06,0,-0.0096
2.90E-06,0,0.0392
2.95E-06,0,-0.0624
3.00E-06,0,0.0456
3.05E-06,0,-0.0112
3.10E-06,0,-0.0352
3.15E-06,0,0.0424
3.20E-06,0,-0.028
3.25E-06,0,-0.0096
3.30E-06,0,0.016
3.35E-06,0,-0.0048
3.40E-06,0,-0.0224
3.45E-06,0,0.0104
3.50E-06,0,-0.0032
3.55E-06,0,-0.004
3.60E-06,0,-0.0064
3.65E-06,0,-0.0032
3.70E-06,0,0.0128
3.75E-06,0,-0.0136
3.80E-06,0,8.00E-04
3.85E-06,0,0.0032
3.90E-06,0,-0.0088
3.95E-06,0,-0.0096
4.00E-06,0,0.0096
4.05E-06,0,0
4.10E-06,0,-0.0144
4.15E-06,0,0.0072
4.20E-06,0,-0.0096
4.25E-06,0,8.00E-04
4.30E-06,0,-0.0016
4.35E-06,0,-0.0024
4.40E-06,0,-0.008
4.45E-06,0,-0.0024
4.50E-06,0,-0.0032
4.55E-06,0,-0.008
4.60E-06,0,8.00E-04
4.65E-06,0,-0.0128
4.70E-06,0,0
4.75E-06,0,-0.0064
4.80E-06,0,0
4.85E-06,0,8.00E-04
4.90E-06,0,-0.0016
4.95E-06,0,-0.012
5.00E-06,0,-8.00E-04
5.05E-06,0,-0.0016
5.10E-06,0,-0.0064
5.15E-06,0,-0.0016
5.20E-06,0,-0.0016
5.25E-06,0,-0.0112
5.30E-06,0,0.0088
5.35E-06,0.04,-0.0016
5.40E-06,0,-0.0064
5.45E-06,0,-0.0056
5.50E-06,0,0.0032
5.55E-06,0,-0.0088
5.60E-06,0,0.0032
5.65E-06,0,-0.0032
5.70E-06,0,-0.0024
5.75E-06,0,-0.0048
5.80E-06,0,-0.0048
5.85E-06,0,-0.0024
5.90E-06,0,-0.0064
5.95E-06,0,0
6.00E-06,0,-0.0048
6.05E-06,0,8.00E-04
6.10E-06,0,8.00E-04
6.15E-06,0,-0.0024
6.20E-06,0,-0.0032
6.25E-06,0,8.00E-04
6.30E-06,0,-0.0032
6.35E-06,0,-0.012
6.40E-06,0,0.0112
6.45E-06,0,-0.0032
6.50E-06,0,-0.0048
6.55E-06,0,-0.0016
6.60E-06,0,-0.0056
6.65E-06,0,-0.0024
6.70E-06,0,0.0016
6.75E-06,0,0
6.80E-06,0,-0.0096
6.85E-06,0,0.0016
6.90E-06,0,-0.0088
6.95E-06,0,8.00E-04
7.00E-06,0,-0.004
7.05E-06,0,-0.0064
7.10E-06,0,-0.008
7.15E-06,0,0
7.20E-06,0,-0.0064
7.25E-06,0,0.0048
7.30E-06,0,-0.0032
7.35E-06,0,-0.016
7.40E-06,0,0.0016
7.45E-06,0,-0.0032
7.50E-06,0,-0.0064
7.55E-06,0,-0.004
7.60E-06,0,8.00E-04
7.65E-06,0,-0.012
7.70E-06,0,0.0072
7.75E-06,0,8.00E-04
7.80E-06,0,-0.0096
7.85E-06,0,-0.0032
7.90E-06,0,-0.0016
7.95E-06,0.04,-0.0048
8.00E-06,0,-0.0024
8.05E-06,0,-0.0024
8.10E-06,0,-0.0048
8.15E-06,0,0
8.20E-06,0,-0.0048
8.25E-06,0,-0.0024
8.30E-06,0,-0.0048
8.35E-06,0,-0.0032
8.40E-06,0,-0.004
8.45E-06,0,-0.0024
8.50E-06,0,0.0016
8.55E-06,0,-0.0032
8.60E-06,0,-0.0064
8.65E-06,0,0.0032
8.70E-06,0,-0.0088
8.75E-06,0,-0.0104
8.80E-06,0,0.0072
8.85E-06,0,-0.0024
8.90E-06,0,-0.0072
8.95E-06,0,8.00E-04
9.00E-06,0,-0.0088
9.05E-06,0,0
9.10E-06,0,0.0016
9.15E-06,0,-0.0032
9.20E-06,0,-0.0064
9.25E-06,0,-0.0016
9.30E-06,0,-0.0048
9.35E-06,0,-0.0048
9.40E-06,0,0
9.45E-06,0,-0.0096
9.50E-06,0,-0.0024
9.55E-06,0,-0.0048
9.60E-06,0,-0.0024
9.65E-06,0,0.0016
9.70E-06,0,-0.0024
9.75E-06,0,-0.0128
9.80E-06,0,8.00E-04
9.85E-06,0,-0.0024
9.90E-06,0,-0.008
9.95E-06,0,-0.0032
1.00E-05,0,0
1.01E-05,0,-0.012
1.01E-05,0,0.0056
1.02E-05,0,8.00E-04
1.02E-05,0,-0.0096
1.03E-05,0,-0.0032
1.03E-05,0,-0.0016
1.04E-05,0,-0.0056
1.04E-05,0,-8.00E-04
1.05E-05,0,-0.0016
1.05E-05,0,-0.0064
1.06E-05,0,8.00E-04
1.06E-05,0,-0.0072
1.07E-05,0,-8.00E-04
1.07E-05,0,-0.0072
1.08E-05,0,-0.0016
1.08E-05,0,-0.0032
1.09E-05,0,-0.0016
1.09E-05,0,0.0016
1.10E-05,0,-0.0024
1.10E-05,0,-0.0032
1.11E-05,0,-0.0016
1.11E-05,0,-0.0032
1.12E-05,0,-0.0128
1.12E-05,0,0.008
1.13E-05,0,-0.0024
1.13E-05,0,-0.008
1.14E-05,0,-0.0016
1.14E-05,0,-0.0072
1.15E-05,0.04,-0.0024
1.15E-05,0,8.00E-04
1.16E-05,0,-0.0032
1.16E-05,0,-0.0096
1.17E-05,0,8.00E-04
1.17E-05,0,-0.0064
1.18E-05,0,0
1.18E-05,0,-0.0024
1.19E-05,0,-0.0088
1.19E-05,0,-0.0032
1.20E-05,0,-0.0032
1.20E-05,0,-0.0032
1.21E-05,0,0.0032
1.21E-05,0,-0.004
1.22E-05,0,-0.0112
1.22E-05,0,-0.0128
1.23E-05,0,0.016
1.23E-05,0,-0.0176
1.24E-05,0,-0.0024
1.24E-05,0,0.0032
1.25E-05,0,-0.012
1.25E-05,0,0
1.26E-05,0.04,0.0064
1.26E-05,0,-0.0176
1.27E-05,0,8.00E-04
1.27E-05,0,-0.0048
1.28E-05,0,-0.0096
1.28E-05,0,0.0032
1.29E-05,0,-0.0064
1.29E-05,0,-0.0048
1.30E-05,0,8.00E-04
1.30E-05,0,-0.0064
1.31E-05,0,-0.0024
1.31E-05,0,-0.0048
1.32E-05,0,-0.0032
1.32E-05,0,0
1.33E-05,0.04,-0.0048
1.33E-05,0,0.0048
1.34E-05,0,-0.0048
1.34E-05,0,-0.0048
1.35E-05,0,8.00E-04
1.35E-05,0,-0.0056
1.36E-05,0,-0.0128
1.36E-05,0,0.0096
1.37E-05,0,-0.0024
1.37E-05,0,-0.0064
1.38E-05,0,-8.00E-04
1.38E-05,0,-0.0064
1.39E-05,0,-0.004
1.39E-05,0,0.0016
1.40E-05,0,-0.0048
1.40E-05,0,-0.0088
1.41E-05,0,0
1.41E-05,0.04,-0.008
1.42E-05,0,-0.0024
1.42E-05,0,-0.004
1.43E-05,0,-0.0064
1.43E-05,0,-0.0064
1.44E-05,0,-0.0016
1.44E-05,0,-0.0056
1.45E-05,0,0.0016
1.45E-05,0,-0.0032
1.46E-05,0,-0.0144
1.46E-05,0,-0.0016
1.47E-05,0,-0.0016
1.47E-05,0,-0.0096
1.48E-05,0,-0.0032
1.48E-05,0,-8.00E-04
1.49E-05,0,-0.0128
1.49E-05,0,0.0064
1.50E-05,0,-0.0016
1.50E-05,0,-0.0104
1.51E-05,0,-0.004
1.51E-05,0,-0.0024
1.52E-05,0,-0.0048
1.52E-05,0,-0.0024
1.53E-05,0,-0.0024
1.53E-05,0,-0.0064
1.54E-05,0,0
1.54E-05,0,-0.0056
1.55E-05,0,-0.0024
1.55E-05,0,-0.0056
1.56E-05,0,-0.0064
1.56E-05,0,8.00E-04
1.57E-05,0,-0.0032
1.57E-05,0,8.00E-04
1.58E-05,0,-0.0024
1.58E-05,0,-0.0016
1.59E-05,0,-0.0064
1.59E-05,0,-0.0024
1.60E-05,0,-0.0096
1.60E-05,0,0.0064
1.61E-05,0.04,-0.0048
1.61E-05,0,-0.0048
1.62E-05,0,-8.00E-04
1.62E-05,0,-0.0112
1.63E-05,0,0
1.63E-05,0,0.0032
1.64E-05,0,-0.0064
1.64E-05,0.04,-0.008
1.65E-05,0,8.00E-04
1.65E-05,0.04,-0.0088
1.66E-05,0,-0.0032
1.66E-05,0,-0.0016
1.67E-05,0,-0.0112
1.67E-05,0,-0.0056
1.68E-05,0,-0.0024
1.68E-05,0,-0.0048
1.69E-05,0,0.0016
1.69E-05,0,-0.0016
1.70E-05,0,-0.0152
1.70E-05,0,0
1.71E-05,0,-0.0024
1.71E-05,0,-0.0064
1.72E-05,0,-0.0048
1.72E-05,0,0.0016
1.73E-05,0,-0.0128
1.73E-05,0,0.0048
1.74E-05,0,-0.0032
1.74E-05,0,-0.0096
1.75E-05,0,-0.0048
1.75E-05,0,0
1.76E-05,0,-0.0088
1.76E-05,0,8.00E-04
1.77E-05,0,-0.0056
1.77E-05,0,-0.0048
1.78E-05,0,0
1.78E-05,0,-0.008
1.79E-05,0,-0.0016
1.79E-05,0,-0.0032
1.80E-05,0,-0.0096
1.80E-05,0,0.0016
1.81E-05,0,0.008
1.81E-05,0,-0.0184
1.82E-05,0,0
1.82E-05,0,0.0272
1.83E-05,0,-0.04
1.83E-05,0,0.0128
1.84E-05,0,0
1.84E-05,0,-0.0024
1.85E-05,0,-0.0096
1.85E-05,0,0.0064
1.86E-05,0,8.00E-04
1.86E-05,0,-0.016
1.87E-05,0,0.0088
1.87E-05,0,-0.0024
1.88E-05,0,-0.0128
1.88E-05,0.04,-0.0112
1.89E-05,0,0.0128
1.89E-05,0,-0.0112
1.90E-05,0,-0.0112
1.90E-05,0,-0.0024
1.91E-05,0,0.004
1.91E-05,0,-0.0096
1.92E-05,0,-0.0048
1.92E-05,0,-0.0024
1.93E-05,0,-0.004
1.93E-05,0,-0.0056
1.94E-05,0,-0.0024
1.94E-05,0,-0.0032
1.95E-05,0,-0.0064
1.95E-05,0,-0.0048
1.96E-05,0,-0.0016
1.96E-05,0,-0.0056
1.97E-05,0,-0.0072
1.97E-05,0,0.0072
1.98E-05,0,-0.0208
1.98E-05,0,0.0088
1.99E-05,0,-0.0064
1.99E-05,0,-0.0056
2.00E-05,0,-0.0048
2.00E-05,0,-0.0024
2.01E-05,0,-0.0112
2.01E-05,0,8.00E-04
2.02E-05,0,-0.008
2.02E-05,0,-0.0024
2.03E-05,0,-0.008
2.03E-05,0,-0.0016
2.04E-05,0,-0.0048
2.04E-05,0,-0.0032
2.05E-05,0,-0.0056
2.05E-05,0,-0.0016
2.06E-05,0,-0.0056
2.06E-05,0,-0.0024
2.07E-05,0,-0.012
2.07E-05,0,0.0144
2.08E-05,0,-0.0312
2.08E-05,0,0.0376
2.09E-05,0,-0.0544
2.09E-05,0,0.0216
2.10E-05,0,0.016
2.10E-05,0,-0.044
